2.1509840,41.3890330,METRO (L5) - HOSPITAL CLÍNIC-,115,5
2.1868970,41.4215560,METRO (L5) - LA SAGRERA-,116,5
2.1764750,41.4258690,METRO (L5) - MARAGALL-,117,5
2.1354800,41.3754440,METRO (L5) - PLAÇA DE SANTS-,118,5
2.1067750,41.3735580,METRO (L5) - PUBILLA CASES-,119,5
2.1738770,41.4041170,METRO (L5) - SAGRADA FAMÍLIA-,120,5
2.0839940,41.3627530,METRO (L5) - SANT ILDEFONS-,121,5
2.1763240,41.4110210,METRO (L5) - SANT PAU-DOS DE MAIG-,122,5
2.1392940,41.3796990,METRO (L5) - SANTS ESTACIÓ-,123,5
2.1667280,41.3987690,METRO (L5) - VERDAGUER-,124,5
2.1677600,41.4308240,METRO (L5) - VILAPICINA-,125,5
2.1748750,41.4297320,METRO (L5) - VIRREI AMAT-,126,5
2.1864970,41.4205540,"METRO (L5,L9,L10) - LA SAGRERA (C. Felipe II)-",127,5-9-10
2.2101310,41.4442460,METRO (L9) - CAN PEIXAUET-,128,9
2.2124130,41.4545030,METRO (L9) - ESGLÉSIA MAJOR-,129,9
2.2159080,41.4466840,METRO (L9) - SANTA ROSA-,130,9
2.2057800,41.4593660,METRO (L9) - SINGUERLÍN-,131,9
2.2052120,41.4361730,"METRO (L9, L10) - BON PASTOR-",132,9-10
2.1862420,41.4209600,"METRO (L9, L10) - LA SAGRERA-",133,9-10
2.1931330,41.4297480,"METRO (L9, L10) - ONZE DE SETEMBRE-",134,9-10
